name,short_name,gender,birth_date,country,country_code,discipline,discipline_code
AALERUD Katrine,AALERUD K,Female,1994-12-04,Norway,NOR,Cycling Road,CRD
ABAD Nestor,ABAD N,Male,1993-03-29,Spain,ESP,Artistic Gymnastics,GAR
ABAGNALE Giovanni,ABAGNALE G,Male,1995-01-11,Italy,ITA,Rowing,ROW
ABALDE Alberto,ABALDE A,Male,1995-12-15,Spain,ESP,Basketball,BKB
ABALDE Tamara,ABALDE T,Female,1989-02-06,Spain,ESP,Basketball,BKB
ABALO Luc,ABALO L,Male,1984-09-06,France,FRA,Handball,HBL
ABAROA Cesar,ABAROA C,Male,1996-11-18,Chile,CHI,Rowing,ROW
ABASS Abobakr,ABASS A,Male,1998-11-01,Sudan,SUD,Swimming,SWM
ABBAGNALE Vincenzo,ABBAGNALE V,Male,1993-03-13,Italy,ITA,Rowing,ROW
ABBASALI Hamideh,ABBASALI H,Female,1990-03-14,Islamic Republic of Iran,IRI,Karate,KTE
ABBASOV Islam,ABBASOV I,Male,1996-03-24,Azerbaijan,AZE,Wrestling,WRE
ABBINGH Lois,ABBINGH L,Female,1992-08-13,Netherlands,NED,Handball,HBL
ABBOT Emily,ABBOT E,Female,1997-02-28,Australia,AUS,Rhythmic Gymnastics,GRY
ABBOTT Monica,ABBOTT M,Female,1985-07-28,United States of America,USA,Baseball/Softball,BSB
ABDALLA Abubaker Haydar,ABDALLA AH,Male,1996-08-28,Qatar,QAT,Athletics,ATH
ABDALRASOOL Mohamed,ABDALRASOOL M,Male,1993-07-24,Sudan,SUD,Judo,JUD
ABDEL LATIF Radwa,ABDEL LATIF R,Female,1989-10-15,Egypt,EGY,Shooting,SHO
ABDEL RAZEK Samy,ABDEL RAZEK S,Male,1980-04-10,Egypt,EGY,Shooting,SHO
ABDELAAL Mohamed,ABDELAAL M,Male,1990-07-23,Egypt,EGY,Judo,JUD
ABDELAZIZ Abdalla,ABDELAZIZ A,Male,1999-03-29,Egypt,EGY,Karate,KTE
ABDELAZIZ Farah,ABDELAZIZ F,Female,1992-09-01,Egypt,EGY,Table Tennis,TTE
ABDELAZIZ Feryal,ABDELAZIZ F,Female,1999-02-16,Egypt,EGY,Karate,KTE
ABDELMAWGOUD Mohamed,ABDELMAWGOUD M,Male,1994-06-10,Egypt,EGY,Judo,JUD
ABDELMOTTALEB Diaaeldin Kamal Gouda,ABDELMOTTALEB DKG,Male,1993-05-02,Egypt,EGY,Wrestling,WRE
ABDELRAHMAN Ihab,ABDELRAHMAN I,Male,1989-05-01,Egypt,EGY,Athletics,ATH
ABDELSALAM Mohamed,ABDELSALAM M,Male,1997-10-01,Egypt,EGY,Football,FBL
ABDELSALAM Nour,ABDELSALAM N,Female,1993-03-29,Egypt,EGY,Taekwondo,TKW
ABDELWAHED Ahmed,ABDELWAHED A,Male,1996-05-26,Italy,ITA,Athletics,ATH
ABDI Bashir,ABDI B,Male,1989-02-10,Belgium,BEL,Athletics,ATH
ABDIRAHMAN Abdi,ABDIRAHMAN A,Male,1977-01-01,United States of America,USA,Athletics,ATH
ABDUL HADI Farah Ann,ABDUL HADI FA,Female,1994-05-03,Malaysia,MAS,Artistic Gymnastics,GAR
ABDUL RAHMAN Kiria Tikanah,ABDUL RAHMAN KT,Female,2000-06-25,Singapore,SGP,Fencing,FEN
ABDUL RAZZAQ Fathimath Nabaaha,ABDUL RAZZAQ FN,Female,1999-06-13,Maldives,MDV,Badminton,BDM
ABDULHAMID Saud,ABDULHAMID S,Male,1999-07-18,Saudi Arabia,KSA,Football,FBL
ABDULJABBAR Ammar Riad,ABDULJABBAR AR,Male,1995-10-01,Germany,GER,Boxing,BOX
ABDULLAEV Gulomjon,ABDULLAEV G,Male,1998-11-11,Uzbekistan,UZB,Wrestling,WRE
ABDULLAEV Muminjon,ABDULLAEV M,Male,1989-12-24,Uzbekistan,UZB,Wrestling,WRE
ABDULLAH Rahmat Erwin,ABDULLAH RE,Male,2000-10-13,Indonesia,INA,Weightlifting,WLF
ABDULLAYEV Mahammad,ABDULLAYEV M,Male,1999-04-06,Azerbaijan,AZE,Boxing,BOX
ABDULLIN Ilfat,ABDULLIN I,Male,1998-01-09,Kazakhstan,KAZ,Archery,ARC
ABDULREDHA Mohamed,ABDULREDHA M,Male,1989-09-27,Bahrain,BRN,Handball,HBL
ABDURAIMOV Elnur,ABDURAIMOV E,Male,1994-06-10,Uzbekistan,UZB,Boxing,BOX
ABDURAKHIMOV Rasuljon,ABDURAKHIMOV R,Male,1996-10-03,Uzbekistan,UZB,Artistic Gymnastics,GAR
ABDURAKHMONOV Bekzod,ABDURAKHMONOV B,Male,1990-03-15,Uzbekistan,UZB,Wrestling,WRE
ABE Hifumi,ABE H,Male,1997-08-09,Japan,JPN,Judo,JUD
ABE Takatoshi,ABE T,Male,1991-11-12,Japan,JPN,Athletics,ATH
ABE Uta,ABE U,Female,2000-07-14,Japan,JPN,Judo,JUD
ABEBE Mekides,ABEBE M,Female,2001-01-29,Ethiopia,ETH,Athletics,ATH
ABEDINI Mojtaba,ABEDINI M,Male,1984-08-11,Islamic Republic of Iran,IRI,Fencing,FEN
ABEL Jennifer,ABEL J,Female,1991-08-23,Canada,CAN,Diving,DIV
ABELA Matthew,ABELA M,Male,1999-03-18,Malta,MLT,Badminton,BDM
ABELVIK ROED Magnus,ABELVIK ROED M,Male,1997-07-07,Norway,NOR,Handball,HBL
ABEYSINGHE Matthew,ABEYSINGHE M,Male,1996-03-19,Sri Lanka,SRI,Swimming,SWM
ABIAN Pablo,ABIAN P,Male,1985-06-12,Spain,ESP,Badminton,BDM
ABICHA Mohammed,ABICHA M,Male,1980-01-16,Morocco,MAR,Beach Volleyball,VBV
ABICHT Lorena,ABICHT L,Female,1994-07-12,Austria,AUT,Sailing,SAL
ABIDINE Abidine,ABIDINE A,Male,1993-03-31,Mauritania,MTN,Athletics,ATH
ABLIAZIN Denis,ABLIAZIN D,Male,1992-08-03,ROC,ROC,Artistic Gymnastics,GAR
ABNER,ABNER,Male,2000-05-27,Brazil,BRA,Football,FBL
ABOUD Hadel,ABOUD H,Female,1999-10-21,Libya,LBA,Athletics,ATH
ABOUELKASSEM Alaaeldin,ABOUELKASSEM A,Male,1990-11-25,Egypt,EGY,Fencing,FEN
ABOUKE Nancy Genzel,ABOUKE NG,Female,2003-07-05,Nauru,NRU,Weightlifting,WLF
ABRAHAM Tadesse,ABRAHAM T,Male,1982-08-12,Switzerland,SUI,Athletics,ATH
ABRAHAMS Rusten John,ABRAHAMS RJ,Male,1997-12-16,South Africa,RSA,Hockey,HOC
ABRAMS Aliyah,ABRAMS A,Female,1997-04-03,Guyana,GUY,Athletics,ATH
ABRAMS Jasmine,ABRAMS J,Female,1994-03-14,Guyana,GUY,Athletics,ATH
ABRAMYAN Benik,ABRAMYAN B,Male,1985-07-31,Georgia,GEO,Athletics,ATH
ABREU Diogo,ABREU D,Male,1993-09-05,Portugal,POR,Trampoline Gymnastics,GTR
ABRINES Alex,ABRINES A,Male,1993-08-01,Spain,ESP,Basketball,BKB
ABROSIMOV Kirill,ABROSIMOV K,Male,1991-11-22,ROC,ROC,Marathon Swimming,OWS
ABU RABEE Asma,ABU RABEE A,Female,1991-09-28,Jordan,JOR,Shooting,SHO
ABU RMILAH Wesam,ABU RMILAH W,Male,1995-12-10,Palestine,PLE,Judo,JUD
ABUAKU Joshua,ABUAKU J,Male,1996-07-07,Germany,GER,Athletics,ATH
ABUJBARA Tala,ABUJBARA T,Female,1992-07-22,Qatar,QAT,Rowing,ROW
ACERENZA Domenico,ACERENZA D,Male,1995-01-19,Italy,ITA,Swimming,SWM
ACETI Vladimir,ACETI V,Male,1998-10-16,Italy,ITA,Athletics,ATH
ACEVEDO Javier,ACEVEDO J,Male,1998-01-28,Canada,CAN,Swimming,SWM
ACHAB Jaouad,ACHAB J,Male,1992-08-20,Belgium,BEL,Taekwondo,TKW
ACHANTA Kamal,ACHANTA K,Male,1982-07-12,India,IND,Table Tennis,TTE
ACHE Ragnar,ACHE R,Male,1998-07-28,Germany,GER,Football,FBL
ACHILLEOS Georgios,ACHILLEOS G,Male,1980-12-24,Cyprus,CYP,Shooting,SHO
ACHIUWA Precious,ACHIUWA P,Male,1999-09-19,Nigeria,NGR,Basketball,BKB
ACHONWA Natalie,ACHONWA N,Female,1992-11-22,Canada,CAN,Basketball,BKB
ACHOURI Haikel,ACHOURI H,Male,1984-08-29,Tunisia,TUN,Wrestling,WRE
ACIN Nikola,ACIN N,Male,1999-12-19,Serbia,SRB,Swimming,SWM
ACKERMANN Simone,ACKERMANN S,Female,1990-02-01,South Africa,RSA,Triathlon,TRI
ACOSTA Briseida,ACOSTA B,Female,1993-08-30,Mexico,MEX,Taekwondo,TKW
ACOSTA FERNANDEZ Yasmani,ACOSTA FERNANDEZ Y,Male,1988-07-16,Chile,CHI,Wrestling,WRE
ACOSTA GIRALDO Valentina,ACOSTA GIRALDO V,Female,2000-04-20,Colombia,COL,Archery,ARC
ACOSTA Marcelo,ACOSTA M,Male,1996-07-11,El Salvador,ESA,Swimming,SWM
ACUNA Yenny,ACUNA Y,Female,1997-05-18,Chile,CHI,Football,FBL
ADACHI Kazuya,ADACHI K,Male,1990-10-23,Japan,JPN,Canoe Slalom,CSL
ADACHI Seiya,ADACHI S,Male,1995-06-24,Japan,JPN,Water Polo,WPO
ADAM Amal,ADAM A,Female,1981-12-24,Egypt,EGY,Archery,ARC
ADAM Constantin,ADAM C,Male,1996-07-12,Romania,ROU,Rowing,ROW
ADAMEK Klaudia,ADAMEK K,Female,1999-03-22,Poland,POL,Athletics,ATH
ADAMKIEWICZ Patrycja,ADAMKIEWICZ P,Female,1998-06-11,Poland,POL,Taekwondo,TKW
ADAMS Liam,ADAMS L,Male,1986-09-04,Australia,AUS,Athletics,ATH
ADAMS Paul,ADAMS P,Male,1992-06-04,Australia,AUS,Shooting,SHO
ADAMS Taeyanna,ADAMS T,Female,2002-03-14,Federated States of Micronesia,FSM,Swimming,SWM
ADAMS Valerie,ADAMS V,Female,1984-10-06,New Zealand,NZL,Athletics,ATH
ADAMUS Bartlomiej Stefan,ADAMUS BS,Male,2000-05-12,Poland,POL,Weightlifting,WLF
ADAR Yasemin,ADAR Y,Female,1991-12-06,Turkey,TUR,Wrestling,WRE
ADEBAYO Bam,ADEBAYO B,Male,1997-07-18,United States of America,USA,Basketball,BKB
ADEGOKE Enoch,ADEGOKE E,Male,2000-03-08,Nigeria,NGR,Athletics,ATH
ADEKUOROYE Odunayo Folasade,ADEKUOROYE OF,Female,1993-12-10,Nigeria,NGR,Wrestling,WRE
ADEL Ibrahim,ADEL I,Male,2001-04-23,Egypt,EGY,Football,FBL
ADENIYI Aminat Oluwafunmilayo,ADENIYI AO,Female,1993-04-21,Nigeria,NGR,Wrestling,WRE
ADESOKAN Dorcas Ajoke,ADESOKAN DA,Female,1998-07-05,Nigeria,NGR,Badminton,BDM
ADILKHANOVA Alina,ADILKHANOVA A,Female,2001-09-26,Kazakhstan,KAZ,Rhythmic Gymnastics,GRY
