name,short_name,gender,birth_date,country_code,discipline,function,event
AIKMAN Siegfried Gottlieb,AIKMAN SG,Male,1959-04-28,JPN,Hockey,Head Coach,Men
AL SAADI Kais,AL SAADI K,Male,1976-11-06,GER,Hockey,Head Coach,Men
ALAMEDA Lonni,ALAMEDA L,Female,1970-06-11,CAN,Baseball/Softball,Coach,Softball
ALEKNO Vladimir,ALEKNO V,Male,1966-12-04,IRI,Volleyball,Head Coach,Men
ALEKSEEV Alexey,ALEKSEEV A,Male,1965-03-05,ROC,Handball,Coach,Women
ALSHEHRI Saad,ALSHEHRI S,Male,1980-01-10,KSA,Football,Head Coach,Men
ANDONOVSKI Vlatko,ANDONOVSKI V,Male,1976-09-14,USA,Football,Head Coach,Women
ANNAN Alyson,ANNAN A,Female,1973-06-21,NED,Hockey,Head Coach,Women
ARNAU CREUS Xavier,ARNAU CREUS X,Male,1973-03-20,JPN,Hockey,Head Coach,Women
ARNOLD Graham,ARNOLD G,Male,1963-08-03,AUS,Football,Head Coach,Men
AXNER Tomas,AXNER T,Male,1969-11-30,SWE,Handball,Coach,Women
BABER Gareth Colin,BABER G,Male,1972-05-23,FIJ,Rugby Sevens,Head Coach,Men
BASILIO Mel,BASILIO M,Female,1981-03-03,CAN,Baseball/Softball,Coach,Softball
BASSO Paola,BASSO P,Female,1970-08-09,GBR,Artistic Swimming,Coach,Duet
BATCH Colin,BATCH C,Male,1958-03-27,AUS,Hockey,Head Coach,Men
BATISTA Fernando,BATISTA F,Male,1970-08-20,ARG,Football,Head Coach,Men
BATISTA SANTIAGO Gerardo,BATISTA SANTIAGO G,Male,1970-12-21,PUR,Basketball,Coach,Women
BELTRAN Rigoberto,BELTRAN R,Male,1969-11-13,MEX,Baseball/Softball,Coach,Baseball
BERG Laura,BERG L,Female,1975-01-06,USA,Baseball/Softball,Coach,Softball
BERGE Christian,BERGE C,Male,1973-07-19,NOR,Handball,Coach,Men
