medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,country_code,discipline_code,event,country,discipline
Gold Medal,1,2021-07-24,KIM JD,KIM Je Deok,W,KOR,ARC,Mixed Team,Republic of Korea,Archery
Gold Medal,1,2021-07-24,AN S,AN San,W,KOR,ARC,Mixed Team,Republic of Korea,Archery
Silver Medal,2,2021-07-24,SCHLOESSER G,SCHLOESSER Gabriela,W,NED,ARC,Mixed Team,Netherlands,Archery
Silver Medal,2,2021-07-24,WIJLER S,WIJLER Steve,W,NED,ARC,Mixed Team,Netherlands,Archery
Bronze Medal,3,2021-07-24,ALVAREZ L,ALVAREZ Luis,W,MEX,ARC,Mixed Team,Mexico,Archery
Bronze Medal,3,2021-07-24,VALENCIA A,VALENCIA Alejandra,W,MEX,ARC,Mixed Team,Mexico,Archery
Gold Medal,1,2021-07-24,CARAPAZ R,CARAPAZ Richard,M,ECU,CRD,Men's Road Race,Ecuador,Cycling Road
Silver Medal,2,2021-07-24,van AERT W,van AERT Wout,M,BEL,CRD,Men's Road Race,Belgium,Cycling Road
Bronze Medal,3,2021-07-24,POGACAR T,POGACAR Tadej,M,SLO,CRD,Men's Road Race,Slovenia,Cycling Road
Gold Medal,1,2021-07-24,SZILAGYI A,SZILAGYI Aron,M,HUN,FEN,Men's Sabre Individual,Hungary,Fencing
Silver Medal,2,2021-07-24,SAMELE L,SAMELE Luigi,M,ITA,FEN,Men's Sabre Individual,Italy,Fencing
Bronze Medal,3,2021-07-24,KIM J,KIM Junghwan,M,KOR,FEN,Men's Sabre Individual,Republic of Korea,Fencing
Gold Medal,1,2021-07-24,SUN Y,SUN Yiwen,W,CHN,FEN,Women's &Eacute;p&eacute;e Individual,People's Republic of China,Fencing
Silver Medal,2,2021-07-24,POPESCU AM,POPESCU Ana Maria,W,ROU,FEN,Women's &Eacute;p&eacute;e Individual,Romania,Fencing
Bronze Medal,3,2021-07-24,LEHIS K,LEHIS Katrina,W,EST,FEN,Women's &Eacute;p&eacute;e Individual,Estonia,Fencing
Gold Medal,1,2021-07-24,TAKATO N,TAKATO Naohisa,M,JPN,JUD,Men -60 kg,Japan,Judo
Silver Medal,2,2021-07-24,YANG YW,YANG Yung Wei,M,TPE,JUD,Men -60 kg,Chinese Taipei,Judo
Bronze Medal,3,2021-07-24,MKHEIDZE L,MKHEIDZE Luka,M,FRA,JUD,Men -60 kg,France,Judo
Bronze Medal,3,2021-07-24,SMETOV Y,SMETOV Yeldos,M,KAZ,JUD,Men -60 kg,Kazakhstan,Judo
Gold Medal,1,2021-07-24,KRASNIQI D,KRASNIQI Distria,W,KOS,JUD,Women -48 kg,Kosovo,Judo
Silver Medal,2,2021-07-24,TONAKI F,TONAKI Funa,W,JPN,JUD,Women -48 kg,Japan,Judo
Bronze Medal,3,2021-07-24,BILODID D,BILODID Daria,W,UKR,JUD,Women -48 kg,Ukraine,Judo
Bronze Medal,3,2021-07-24,MUNKHBAT U,MUNKHBAT Urantsetseg,W,MGL,JUD,Women -48 kg,Mongolia,Judo
Gold Medal,1,2021-07-24,FOROUGHI J,FOROUGHI Javad,M,IRI,SHO,10m Air Pistol Men,Islamic Republic of Iran,Shooting
Silver Medal,2,2021-07-24,MIKEC D,MIKEC Damir,M,SRB,SHO,10m Air Pistol Men,Serbia,Shooting
Bronze Medal,3,2021-07-24,PANG W,PANG Wei,M,CHN,SHO,10m Air Pistol Men,People's Republic of China,Shooting
Gold Medal,1,2021-07-24,YANG Q,YANG Qian,W,CHN,SHO,10m Air Rifle Women,People's Republic of China,Shooting
Silver Medal,2,2021-07-24,GALASHINA A,GALASHINA Anastasiia,W,ROC,SHO,10m Air Rifle Women,ROC,Shooting
Bronze Medal,3,2021-07-24,CHRISTEN N,CHRISTEN Nina,W,SUI,SHO,10m Air Rifle Women,Switzerland,Shooting
Gold Medal,1,2021-07-24,DELL'AQUILA V,DELL'AQUILA Vito,M,ITA,TKW,Men -58kg,Italy,Taekwondo
Silver Medal,2,2021-07-24,JENDOUBI MK,JENDOUBI Mohamed Khalil,M,TUN,TKW,Men -58kg,Tunisia,Taekwondo
Bronze Medal,3,2021-07-24,ARTAMONOV M,ARTAMONOV Mikhail,M,ROC,TKW,Men -58kg,ROC,Taekwondo
Bronze Medal,3,2021-07-24,JANG J,JANG Jun,M,KOR,TKW,Men -58kg,Republic of Korea,Taekwondo
Gold Medal,1,2021-07-24,WONGPATTANAKIT P,WONGPATTANAKIT Panipak,W,THA,TKW,Women -49kg,Thailand,Taekwondo
Silver Medal,2,2021-07-24,CEREZO IGLESIAS A,CEREZO IGLESIAS Adriana,W,ESP,TKW,Women -49kg,Spain,Taekwondo
Bronze Medal,3,2021-07-24,BOGDANOVIC T,BOGDANOVIC Tijana,W,SRB,TKW,Women -49kg,Serbia,Taekwondo
Bronze Medal,3,2021-07-24,SEMBERG A,SEMBERG Abishag,W,ISR,TKW,Women -49kg,Israel,Taekwondo
Gold Medal,1,2021-07-24,HOU Z,HOU Zhihui,W,CHN,WLF,Women's 49kg,People's Republic of China,Weightlifting
Silver Medal,2,2021-07-24,MIRABAI CS,MIRABAI Chanu Saikhom,W,IND,WLF,Women's 49kg,India,Weightlifting
Bronze Medal,3,2021-07-24,AISAH WC,AISAH Windy Cantika,W,INA,WLF,Women's 49kg,Indonesia,Weightlifting
Gold Medal,1,2021-07-25,KANG C,KANG Chaeyoung,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,2021-07-25,AN S,AN San,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Gold Medal,1,2021-07-25,JANG M,JANG Minhee,W,KOR,ARC,Women's Team,Republic of Korea,Archery
Silver Medal,2,2021-07-25,OSIPOVA E,OSIPOVA Elena,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,2021-07-25,PEROVA K,PEROVA Ksenia,W,ROC,ARC,Women's Team,ROC,Archery
Silver Medal,2,2021-07-25,GOMBOEVA S,GOMBOEVA Svetlana,W,ROC,ARC,Women's Team,ROC,Archery
Bronze Medal,3,2021-07-25,SCHWARZ C,SCHWARZ Charline,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,2021-07-25,UNRUH L,UNRUH Lisa,W,GER,ARC,Women's Team,Germany,Archery
Bronze Medal,3,2021-07-25,KROPPEN M,KROPPEN Michelle,W,GER,ARC,Women's Team,Germany,Archery
Gold Medal,1,2021-07-25,KIESENHOFER A,KIESENHOFER Anna,W,AUT,CRD,Women's Road Race,Austria,Cycling Road
Silver Medal,2,2021-07-25,van VLEUTEN A,van VLEUTEN Annemiek,W,NED,CRD,Women's Road Race,Netherlands,Cycling Road
Bronze Medal,3,2021-07-25,LONGO BORGHINI E,LONGO BORGHINI Elisa,W,ITA,CRD,Women's Road Race,Italy,Cycling Road
Gold Medal,1,2021-07-25,WANG H,WANG Han,W,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Gold Medal,1,2021-07-25,SHI T,SHI Tingmao,W,CHN,DIV,Women's Synchronised 3m Springboard,People's Republic of China,Diving
Silver Medal,2,2021-07-25,ABEL J,ABEL Jennifer,W,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
Silver Medal,2,2021-07-25,CITRINI BEAULIEU M,CITRINI BEAULIEU Melissa,W,CAN,DIV,Women's Synchronised 3m Springboard,Canada,Diving
Bronze Medal,3,2021-07-25,HENTSCHEL L,HENTSCHEL Lena,W,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
Bronze Medal,3,2021-07-25,PUNZEL T,PUNZEL Tina,W,GER,DIV,Women's Synchronised 3m Springboard,Germany,Diving
Gold Medal,1,2021-07-25,CANNONE R,CANNONE Romain,M,FRA,FEN,Men's &Eacute;p&eacute;e Individual,France,Fencing
Silver Medal,2,2021-07-25,SIKLOSI G,SIKLOSI Gergely,M,HUN,FEN,Men's &Eacute;p&eacute;e Individual,Hungary,Fencing
Bronze Medal,3,2021-07-25,REIZLIN I,REIZLIN Igor,M,UKR,FEN,Men's &Eacute;p&eacute;e Individual,Ukraine,Fencing
Gold Medal,1,2021-07-25,KIEFER L,KIEFER Lee,W,USA,FEN,Women's Foil Individual,United States of America,Fencing
Silver Medal,2,2021-07-25,DERIGLAZOVA I,DERIGLAZOVA Inna,W,ROC,FEN,Women's Foil Individual,ROC,Fencing
Bronze Medal,3,2021-07-25,KOROBEYNIKOVA L,KOROBEYNIKOVA Larisa,W,ROC,FEN,Women's Foil Individual,ROC,Fencing
Gold Medal,1,2021-07-25,ABE H,ABE Hifumi,M,JPN,JUD,Men -66 kg,Japan,Judo
Silver Medal,2,2021-07-25,MARGVELASHVILI V,MARGVELASHVILI Vazha,M,GEO,JUD,Men -66 kg,Georgia,Judo
Bronze Medal,3,2021-07-25,AN B,AN Baul,M,KOR,JUD,Men -66 kg,Republic of Korea,Judo
