name,short_name,gender,birth_date,country,discipline,function
ABAEVA Elena,ABAEVA E,Female,1966-04-21,Uzbekistan,Wrestling,Judge
ABBAR Bachir,ABBAR B,Male,1965-05-03,Morocco,Boxing,Judge
ABDELLATIF Makfouni,ABDELLATIF M,Male,1972-11-23,Morocco,Boxing,Judge
ABE Miya,ABE M,Female,1992-10-27,Japan,Beach Volleyball,Referee
ACIGA FULA Antonio Stephen,ACIGA FULA AS,Male,1957-11-28,Uganda,Boxing,Judge
AEBA Kazue,AEBA K,Female,1977-08-10,Japan,Volleyball,Referee
AGNIESZKA Myszkowska,AGNIESZKA M,Female,1977-04-16,Poland,Beach Volleyball,Referee
AHADPOUR Raheleh,AHADPOUR R,Female,1985-05-13,Islamic Republic of Iran,Beach Volleyball,Referee
AHLERING Julie,AHLERING J,Female,1959-03-12,United States of America,Diving,Judge
AKASE Hiroyuki,AKASE H,Male,1988-04-28,Japan,Volleyball,Referee
AKASHI Naoki,AKASHI N,Male,1979-03-16,Japan,Volleyball,Referee
AKHMETOV Meirambek,AKHMETOV M,Male,1961-11-07,Kyrgyzstan,Wrestling,Judge
AL ALAWI Abdul Monem Khamis Abddul,AL ALAWI AMKA,Male,1969-10-05,Oman,Diving,Judge
AL ALAWI Abdul Monem Khamis Abddul,AL ALAWI A,Male,1969-10-05,Oman,Water Polo,Judge
AL DEGAITHER Nasser,AL DEGAITHER N,Male,1966-10-15,Saudi Arabia,Diving,Judge
AL MARRI Abdulla,AL MARRI A,Male,1992-12-16,Qatar,Football,Video Assistant Referee (VAR)
ALEXANDRESCU Adrian,ALEXANDRESCU A,Male,1970-02-06,Romania,Water Polo,Referee
ALKALAF Mohammad,ALKALAF M,Male,1981-01-24,Jordan,Football,Assistant Referee
ALONSO Maribel,ALONSO M,Female,1954-02-20,Mexico,Equestrian,Jury Member
ALPAIDZE Viktoriia,ALPAIDZE V,Female,1987-05-08,Russian Federation,Handball,Referee
ALROALLE Ahmad,ALROALLE A,Male,1979-06-30,Jordan,Football,Assistant Referee
ALROUSI Hamid,ALROUSI H,Male,1965-07-01,United Arab Emirates,Volleyball,Referee
ALSAFFAR Bashar,ALSAFFAR B,Male,1978-04-16,Kuwait,Diving,Judge
ALSAFFAR Bashar,ALSAFFAR B,Male,1978-04-16,Kuwait,Water Polo,Judge
ALVES Edina,ALVES E,Female,1980-01-10,Brazil,Football,Referee
AMANO Akiko,AMANO A,Female,1970-10-31,Japan,Judo,Judge
AMAWI Adam,AMAWI A,Male,1985-08-20,Jordan,Taekwondo,Referee
AMBOYA Monica,AMBOYA M,Female,1982-06-09,Ecuador,Football,Assistant Referee
ANCO BOBADILLA Miguel,ANCO BOBADILLA M,Male,1963-04-07,Peru,Boxing,Judge
ARAI Yuji,ARAI Y,Male,1969-11-20,Japan,Beach Volleyball,Referee
ARAYA Raul Jose,ARAYA RJ,Male,1960-07-18,Argentina,Diving,Judge
ARAYA Raul Jose,ARAYA R,Male,1960-07-18,Argentina,Water Polo,Judge
ARBLASTER Ryan,ARBLASTER R,Male,1979-12-25,Australia,Diving,Judge
ARBLASTER Ryan,ARBLASTER R,Male,1979-12-25,Australia,Water Polo,Judge
ARENA Renato,ARENA R,Male,1955-05-12,Italy,Volleyball,Referee
ARIMURA Kumiko,ARIMURA K,Female,1975-11-18,Japan,Volleyball,Referee
ASADA Masako,ASADA M,Female,1971-01-08,Japan,Diving,Judge
ASAI Tadayoshi,ASAI T,Male,1972-04-19,Japan,Volleyball,Referee
ASHOUR Mahmoud,ASHOUR M,Male,1976-11-10,Egypt,Football,Video Assistant Referee (VAR)
ATKINS Kyle,ATKINS K,Male,1986-12-23,United States of America,Football,Assistant Referee
AVASILOAE Florin,AVASILOAE F,Male,1969-08-21,Romania,Diving,Judge
AXTELIUS Peter,AXTELIUS P,Male,1979-11-03,Sweden,Diving,Judge
AZMY Mohamed,AZMY M,Male,1980-07-12,Egypt,Taekwondo,Referee
AZORIN Daniel,AZORIN D,Male,1961-06-25,France,Diving,Judge
AZZOUG Mohamed,AZZOUG M,Male,1959-04-19,Algeria,Judo,Judge
BABANLI Anar,BABANLI A,Male,1979-09-30,Azerbaijan,Boxing,Judge
BABIUC Ioana,BABIUC I,Female,1975-01-07,Romania,Judo,Judge
BACK Neuza,BACK N,Female,1984-08-11,Brazil,Football,Assistant Referee
BAKE Giovanni,BAKE G,Male,1975-10-21,South Africa,Beach Volleyball,Referee
BALDE Alpha Amadou,BALDE AA,Male,1983-03-09,Guinea,Boxing,Judge
BALFANBAYEV Alan,BALFANBAYEV A,Male,1964-07-19,Kazakhstan,Diving,Judge
BAPTISTA Luis,BAPTISTA L,Male,1960-11-30,Portugal,Diving,Judge
BAPTISTA Luis,BAPTISTA L,Male,1960-11-30,Portugal,Water Polo,Judge
BARBOSA Rui,BARBOSA R,Male,1974-08-01,Portugal,Football,Assistant Referee
BARGAILA Deividas,BARGAILA D,Male,1977-10-15,Lithuania,Wrestling,Judge
BARRIENTOS MARTINEZ Alejandro,BARRIENTOS MARTIN.,Male,1971-09-20,Cuba,Boxing,Judge
BARTON Ivan,BARTON I,Male,1991-01-27,El Salvador,Football,Referee
BASHEV Mihail,BASHEV M,Male,1984-12-08,Bulgaria,Handball,Referee
BATAILLE Matthieu,BATAILLE M,Male,1978-07-26,France,Judo,Judge
BAZULIN Aleksei,BAZULIN A,Male,1978-04-09,Russian Federation,Wrestling,Judge
BEATH Chris,BEATH C,Male,1984-11-17,Australia,Football,Referee
BEATIE Brig,BEATIE B,Male,1970-08-11,United States of America,Beach Volleyball,Referee
BEBIC Milivoj,BEBIC M,Male,1959-08-29,Croatia,Diving,Judge
BECK Melanie,BECK M,Female,1965-06-25,Great Britain,Diving,Judge
BECK Melanie,BECK M,Female,1965-06-25,Great Britain,Water Polo,Judge
BEECH Paul,BEECH P,Male,1982-02-27,Australia,Diving,Judge
BEIDA Dahane,BEIDA D,Male,1991-12-31,Mauritania,Football,Referee
BEKPENBETOV Bakytzhan,BEKPENBETOV B,Male,1972-09-02,Kazakhstan,Boxing,Judge
BELKHIRI Youcef,BELKHIRI Y,Male,1991-07-25,Algeria,Handball,Referee
BENGISUN Gonenc,BENGISUN G,Male,1988-08-24,Turkey,Beach Volleyball,Referee
